,,lr0.5,,,,,,lr1,,,,,
"mmสตั้(w256,b1024)",,,,,,,,,,,,,
,,DBN,DBNSigma,,QR,QRSigma,,DBN,DBNSigma,,QR,QRSigma,
mm0.1,,92.72,93.69,0.97,95.23,95.66,0.43,92.66,93.79,1.13,95.62,95.94,0.32
mm0.3,,92.45,93.4,0.95,95.12,95.62,0.5,92.19,93.3,1.11,95.22,95.65,0.43
mm0.5,,91.84,93.11,1.27,94.94,95.31,0.37,91.74,92.82,1.08,95.1,95.52,0.42
mm0.7,,91.39,92.39,1,94.36,94.8,0.44,91.05,92.13,1.08,94.59,95.19,0.6
mm0.9,,90.27,91.03,0.76,93.56,93.9,0.34,90.18,90.88,0.7,93.99,94.32,0.33
